start...
Finetuning mode
Load outputs/2023-02-12-11-33-40/trained_model/best_weight.pt...
Epoch: 153 / 3000, Score: 15800,  block: 301,  Reward: -1.6736 Cleared lines: 117, col: 67/19/0/3 
Epoch: 154 / 3000, Score: 16000,  block: 301,  Reward: -0.8941 Cleared lines: 117, col: 50/27/3/1 
Epoch: 155 / 3000, Score: 17300,  block: 301,  Reward: 0.8204 Cleared lines: 114, col: 48/21/4/3 
Epoch: 156 / 3000, Score: 16200,  block: 301,  Reward: -0.3112 Cleared lines: 119, col: 57/23/4/1 
Epoch: 157 / 3000, Score: 15000,  block: 301,  Reward: -6.7817 Cleared lines: 109, col: 46/25/3/1 
Epoch: 158 / 3000, Score: 14200,  block: 301,  Reward: -1.5376 Cleared lines: 114, col: 63/21/3/0 
Epoch: 159 / 3000, Score: 17100,  block: 301,  Reward: 0.4172 Cleared lines: 118, col: 56/17/8/1 
Epoch: 160 / 3000, Score: 16300,  block: 301,  Reward: 0.0303 Cleared lines: 117, col: 54/22/5/1 
Epoch: 161 / 3000, Score: 16200,  block: 301,  Reward: 0.0252 Cleared lines: 118, col: 59/20/5/1 
Epoch: 162 / 3000, Score: 18200,  block: 301,  Reward: -0.2630 Cleared lines: 118, col: 47/22/5/3 
Epoch: 163 / 3000, Score: 16900,  block: 301,  Reward: 0.7348 Cleared lines: 119, col: 57/21/4/2 
Epoch: 164 / 3000, Score: 14600,  block: 301,  Reward: -1.9183 Cleared lines: 110, col: 43/29/3/0 
Epoch: 165 / 3000, Score: 16000,  block: 301,  Reward: -4.5069 Cleared lines: 117, col: 50/27/3/1 
Epoch: 166 / 3000, Score: 15200,  block: 301,  Reward: -0.8582 Cleared lines: 113, col: 54/23/3/1 
Epoch: 167 / 3000, Score: 15200,  block: 301,  Reward: -1.5676 Cleared lines: 113, col: 55/20/6/0 
Epoch: 168 / 3000, Score: 14600,  block: 301,  Reward: -1.8358 Cleared lines: 119, col: 65/24/2/0 
Epoch: 169 / 3000, Score: 17300,  block: 301,  Reward: 1.0743 Cleared lines: 117, col: 48/23/5/2 
Epoch: 170 / 3000, Score: 14500,  block: 301,  Reward: -2.5288 Cleared lines: 115, col: 60/23/3/0 
Epoch: 171 / 3000, Score: 16000,  block: 301,  Reward: 0.9439 Cleared lines: 112, col: 58/18/2/3 
Epoch: 172 / 3000, Score: 14100,  block: 301,  Reward: -9.5638 Cleared lines: 110, col: 58/20/4/0 
Epoch: 173 / 3000, Score: 15400,  block: 301,  Reward: -1.6312 Cleared lines: 112, col: 57/18/5/1 
Epoch: 174 / 3000, Score: 15800,  block: 301,  Reward: -1.9447 Cleared lines: 114, col: 60/16/6/1 
