start...
Finetuning mode
Load outputs/2023-01-23-23-33-36/trained_model/best_weight.pt...
Epoch: 243 / 10000, Score: -400,  block: 38,  Reward: -6.5 Cleared lines: 1
Epoch: 244 / 10000, Score: -300,  block: 35,  Reward: -6.1 Cleared lines: 2
Epoch: 245 / 10000, Score: -300,  block: 34,  Reward: -5.8 Cleared lines: 2
Epoch: 246 / 10000, Score: -100,  block: 38,  Reward: -5.4 Cleared lines: 4
Epoch: 247 / 10000, Score: -200,  block: 38,  Reward: -6.0 Cleared lines: 3
Epoch: 248 / 10000, Score: -500,  block: 34,  Reward: -6.1 Cleared lines: 0
Epoch: 249 / 10000, Score: -400,  block: 37,  Reward: -7.1 Cleared lines: 1
Epoch: 250 / 10000, Score: -400,  block: 34,  Reward: -5.4 Cleared lines: 1
Epoch: 251 / 10000, Score: -300,  block: 37,  Reward: -6.1 Cleared lines: 2
Epoch: 252 / 10000, Score: -500,  block: 30,  Reward: -6.1 Cleared lines: 0
Epoch: 253 / 10000, Score: -400,  block: 35,  Reward: -6.1 Cleared lines: 1
Epoch: 254 / 10000, Score: 200,  block: 50,  Reward: -7.4 Cleared lines: 7
Epoch: 255 / 10000, Score: -300,  block: 36,  Reward: -6.0 Cleared lines: 2
Epoch: 256 / 10000, Score: -400,  block: 35,  Reward: -5.7 Cleared lines: 1
Epoch: 257 / 10000, Score: -400,  block: 29,  Reward: -5.5 Cleared lines: 1
Epoch: 258 / 10000, Score: -400,  block: 35,  Reward: -6.4 Cleared lines: 1
Epoch: 259 / 10000, Score: -400,  block: 36,  Reward: -6.2 Cleared lines: 1
Epoch: 260 / 10000, Score: -500,  block: 36,  Reward: -6.8 Cleared lines: 0
Epoch: 261 / 10000, Score: -400,  block: 30,  Reward: -5.8 Cleared lines: 1
Epoch: 262 / 10000, Score: -200,  block: 46,  Reward: -8.3 Cleared lines: 3
Epoch: 263 / 10000, Score: 100,  block: 49,  Reward: -6.8 Cleared lines: 6
Epoch: 264 / 10000, Score: -400,  block: 36,  Reward: -6.1 Cleared lines: 1
Epoch: 265 / 10000, Score: -500,  block: 34,  Reward: -6.4 Cleared lines: 0
Epoch: 266 / 10000, Score: 0,  block: 47,  Reward: -7.3 Cleared lines: 5
Epoch: 267 / 10000, Score: -200,  block: 44,  Reward: -7.8 Cleared lines: 3
Epoch: 268 / 10000, Score: 300,  block: 55,  Reward: -7.9 Cleared lines: 8
Epoch: 269 / 10000, Score: -300,  block: 39,  Reward: -6.1 Cleared lines: 2
Epoch: 270 / 10000, Score: -300,  block: 35,  Reward: -5.3 Cleared lines: 2
Epoch: 271 / 10000, Score: -200,  block: 39,  Reward: -7.0 Cleared lines: 3
Epoch: 272 / 10000, Score: -400,  block: 30,  Reward: -5.5 Cleared lines: 1
Epoch: 273 / 10000, Score: -400,  block: 28,  Reward: -5.5 Cleared lines: 1
Epoch: 274 / 10000, Score: 500,  block: 54,  Reward: -7.8 Cleared lines: 10
Epoch: 275 / 10000, Score: -400,  block: 32,  Reward: -5.7 Cleared lines: 1
Epoch: 276 / 10000, Score: 0,  block: 46,  Reward: -7.2 Cleared lines: 5
Epoch: 277 / 10000, Score: -200,  block: 35,  Reward: -5.9 Cleared lines: 3
Epoch: 278 / 10000, Score: -300,  block: 38,  Reward: -7.4 Cleared lines: 2
Epoch: 279 / 10000, Score: -300,  block: 44,  Reward: -6.9 Cleared lines: 2
Epoch: 280 / 10000, Score: -100,  block: 46,  Reward: -7.6 Cleared lines: 4
Epoch: 281 / 10000, Score: 200,  block: 53,  Reward: -7.4 Cleared lines: 7
Epoch: 282 / 10000, Score: -500,  block: 29,  Reward: -5.8 Cleared lines: 0
Epoch: 283 / 10000, Score: -400,  block: 33,  Reward: -6.3 Cleared lines: 1
Epoch: 284 / 10000, Score: -500,  block: 34,  Reward: -5.7 Cleared lines: 0
Epoch: 285 / 10000, Score: -400,  block: 26,  Reward: -4.1 Cleared lines: 1
Epoch: 286 / 10000, Score: 0,  block: 46,  Reward: -6.7 Cleared lines: 4
Epoch: 287 / 10000, Score: -400,  block: 41,  Reward: -7.4 Cleared lines: 1
Epoch: 288 / 10000, Score: -200,  block: 36,  Reward: -7.1 Cleared lines: 3
Epoch: 289 / 10000, Score: -300,  block: 35,  Reward: -5.5 Cleared lines: 2
Epoch: 290 / 10000, Score: -200,  block: 44,  Reward: -6.5 Cleared lines: 3
Epoch: 291 / 10000, Score: -500,  block: 26,  Reward: -5.3 Cleared lines: 0
Epoch: 292 / 10000, Score: -500,  block: 34,  Reward: -6.2 Cleared lines: 0
Epoch: 293 / 10000, Score: -400,  block: 35,  Reward: -5.6 Cleared lines: 1
Epoch: 294 / 10000, Score: 300,  block: 53,  Reward: -7.2 Cleared lines: 7
Epoch: 295 / 10000, Score: -500,  block: 32,  Reward: -6.1 Cleared lines: 0
Epoch: 296 / 10000, Score: -400,  block: 31,  Reward: -5.4 Cleared lines: 1
Epoch: 297 / 10000, Score: -300,  block: 33,  Reward: -6.7 Cleared lines: 2
Epoch: 298 / 10000, Score: -500,  block: 37,  Reward: -6.9 Cleared lines: 0
Epoch: 299 / 10000, Score: -500,  block: 31,  Reward: -4.9 Cleared lines: 0
Epoch: 300 / 10000, Score: -400,  block: 26,  Reward: -4.7 Cleared lines: 1
Epoch: 301 / 10000, Score: -400,  block: 38,  Reward: -6.1 Cleared lines: 1
Epoch: 302 / 10000, Score: -400,  block: 34,  Reward: -6.9 Cleared lines: 1
Epoch: 303 / 10000, Score: -500,  block: 28,  Reward: -4.9 Cleared lines: 0
Epoch: 304 / 10000, Score: -300,  block: 39,  Reward: -6.3 Cleared lines: 2
Epoch: 305 / 10000, Score: -400,  block: 32,  Reward: -6.2 Cleared lines: 1
Epoch: 306 / 10000, Score: -100,  block: 45,  Reward: -8.3 Cleared lines: 4
Epoch: 307 / 10000, Score: -400,  block: 34,  Reward: -6.5 Cleared lines: 1
